year,uscensus,populationbureau,un,hyde,maddison,avg,min,max
0,,300000000,300000000,,230800000,277000000,231000000,300000000
14,,,,,,,,
200,,,,,,,,
350,,,,,,,,
400,,,,,,,,
500,,,,,,,,
600,,,,,,,,
700,,,,,,,,
800,,,,,,,,
900,,,,,,,,
1000,,,310000000,,267600000,289000000,268000000,310000000
1100,,,,,,,,
1200,,450000000,,,,450000000,450000000,450000000
1250,,,400000000,,,400000000,400000000,400000000
1300,,,,,,,,
1340,,,,,,,,
1400,,,,,,,,
1500,,,500000000,,438400000,469000000,438000000,500000000
1600,,,,,556100000,556000000,556000000,556000000
1650,,500000000,,,,500000000,500000000,500000000
1700,,,,640000000,603500000,622000000,603000000,640000000
1710,,,,662400000,,662000000,662000000,662000000
1720,,,,679600000,,680000000,680000000,680000000
1730,,,,689300000,,689000000,689000000,689000000
1740,,,,770000000,,770000000,770000000,770000000
1750,,795000000,791000000,824300000,,803000000,791000000,824000000
1760,,,,846100000,,846000000,846000000,846000000
1770,,,,864400000,,864000000,864000000,864000000
1780,,,,949400000,,949000000,949000000,949000000
1790,,,,982600000,,983000000,983000000,983000000
1800,,,978000000,980900000,,979000000,978000000,981000000
1810,,,,1045000000,,1050000000,1050000000,1050000000
1820,,,,1070000000,1042000000,1060000000,1040000000,1070000000
1830,,,,1138000000,,1140000000,1140000000,1140000000
1840,,,,1193000000,,1190000000,1190000000,1190000000
1850,,1265000000,1262000000,1244000000,,1260000000,1240000000,1260000000
1860,,,,1270000000,,1270000000,1270000000,1270000000
1870,,,,1309000000,1272000000,1290000000,1270000000,1310000000
1875,,,,,,,,
1880,,,,1398000000,,1400000000,1400000000,1400000000
1890,,,,1516000000,,1520000000,1520000000,1520000000
1900,,1656000000,1650000000,1634000000,1564000000,1630000000,1560000000,1660000000
1910,,,1750000000,1754000000,,1750000000,1750000000,1750000000
1913,,,,,1791000000,1790000000,1790000000,1790000000
1920,,,1860000000,1888000000,,1870000000,1860000000,1890000000
1925,,,,,,,,
1930,,,2070000000,2073000000,,2070000000,2070000000,2070000000
1940,,,2300000000,2300000000,,2300000000,2300000000,2300000000
1950,2556000000,2516000000,2529000000,2528000000,2524000000,2530000000,2520000000,2560000000
1955,2781000000,,2763000000,2768000000,2766000000,2770000000,2760000000,2780000000
1960,3042000000,,3023000000,3036000000,3039000000,3030000000,3020000000,3040000000
1962,3139000000,,,3156000000,3133000000,3140000000,3130000000,3160000000
1965,3349000000,,3332000000,3351000000,3329000000,3340000000,3330000000,3350000000
1966,3420000000,,,3420000000,3398000000,3410000000,3400000000,3420000000
1970,3712000000,,3686000000,3697000000,3685000000,3690000000,3690000000,3710000000
1973,3942000000,,,3923000000,3916000000,3930000000,3920000000,3940000000
1975,4089000000,,4061000000,4074000000,4065000000,4070000000,4060000000,4090000000
1980,4453000000,,4438000000,4442000000,4436000000,4440000000,4440000000,4450000000
1985,4852000000,,4846000000,4844000000,4831000000,4840000000,4830000000,4850000000
1990,5284000000,,5290000000,5280000000,5260000000,5280000000,5260000000,5290000000
1995,5697000000,5760000000,5713000000,5692000000,5677000000,5710000000,5680000000,5760000000
1998,5932000000,,,5930000000,5915000000,5930000000,5910000000,5930000000
1999,6008000000,,,6008000000,5998000000,6000000000,6000000000,6010000000
2000,6084000000,,6115000000,6086000000,6071000000,6090000000,6070000000,6120000000
2001,6159000000,,,,6149000000,6150000000,6150000000,6160000000
2002,6234000000,6215000000,,6238000000,,6230000000,6220000000,6240000000
2005,6456000000,6477000000,6512000000,6465000000,,6480000000,6460000000,6510000000
2006,6531000000,6555000000,,6540000000,,6540000000,6530000000,6550000000
2007,6606000000,6625000000,,6616000000,,6620000000,6610000000,6620000000
2008,6681000000,6705000000,,6691000000,,6690000000,6680000000,6700000000
2009,6756000000,,,,,6760000000,6760000000,6760000000
2010,6831000000,,6909000000,6843000000,,6860000000,6830000000,6910000000
2015,7200000000,,7302000000,7219000000,,7240000000,7200000000,7300000000
2020,7558000000,,7675000000,7578000000,,7600000000,7560000000,7670000000
2025,7893000000,8000000000,8012000000,7905000000,,7950000000,7890000000,8010000000
2030,8202000000,,8309000000,8199000000,,8240000000,8200000000,8310000000
2035,8487000000,,8571000000,,,8530000000,8490000000,8570000000
2040,8749000000,,8801000000,,,8770000000,8750000000,8800000000
2045,8987000000,,8996000000,,,8990000000,8990000000,9000000000
2050,9202000000,9352000000,9150000000,,,9230000000,9150000000,9350000000
